Serial Number;Status;Address;Host Name;Model;Firmware;DHCP;Server;Tags;UPnP Friendly Name
00408CF61EA9;OK;172.16.81.42;;AXIS Q6044-E;5.55.1.2;No;ARM4;;AXIS Q6044-E - 00408CF61EA9
00408CF69C2E;OK;172.16.84.14;;AXIS Q6044-E;5.55.1.3;No;ARM4;;AXIS Q6044-E - 00408CF69C2E
00408CF69C3B;OK;172.16.84.69;;AXIS Q6044-E;5.55.1.3;No;ARM4;;AXIS Q6044-E - 00408CF69C3B
00408CF69C3C;OK;172.16.84.70;;AXIS Q6044-E;5.55.1.3;No;ARM4;;AXIS Q6044-E - 00408CF69C3C
00408CF69C34;OK;172.16.84.71;;AXIS Q6044-E;5.55.1.3;No;ARM4;;AXIS Q6044-E - 00408CF69C34
ACCC8E2C538B;OK;172.16.84.13;;AXIS P3304;5.40.9.2;No;ARM4;;AXIS P3304 - ACCC8E2C538B
ACCC8E2C538E;OK;172.16.84.73;;AXIS P3304;5.40.9.2;No;ARM4;;AXIS P3304 - ACCC8E2C538E
ACCC8E2C5390;OK;172.16.84.74;;AXIS P3304;5.40.9.2;No;ARM4;;AXIS P3304 - ACCC8E2C5390
ACCC8E2D0859;OK;172.16.84.105;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2D0859
ACCC8E2D0862;OK;172.16.84.111;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2D0862
ACCC8E2DA7C0;OK;172.16.84.117;;AXIS P3364;5.40.17.1;No;ARM4;;AXIS P3364 - ACCC8E2DA7C0
ACCC8E2DA7C2;OK;172.16.84.116;;AXIS P3364;5.40.17.1;No;ARM4;;AXIS P3364 - ACCC8E2DA7C2
ACCC8E2E30A0;OK;172.16.84.72;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30A0
ACCC8E2E30A2;OK;172.16.84.75;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30A2
ACCC8E2E30A9;OK;172.16.84.76;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30A9
ACCC8E2E30B1;OK;172.16.84.108;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30B1
ACCC8E2E30B3;OK;172.16.84.114;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30B3
ACCC8E2E30B5;OK;172.16.84.233;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30B5
ACCC8E2E30B7;OK;172.16.84.232;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30B7
ACCC8E2E30BA;OK;172.16.84.236;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30BA
ACCC8E2E30CA;OK;172.16.84.230;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30CA
ACCC8E2E30CC;OK;172.16.84.235;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30CC
ACCC8E2E30CD;OK;172.16.84.101;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30CD
ACCC8E2E30D1;OK;172.16.84.132;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30D1
ACCC8E2E30D5;OK;172.16.84.135;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30D5
ACCC8E2E30D7;OK;172.16.84.112;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30D7
ACCC8E2E30D8;OK;172.16.84.137;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30D8
ACCC8E2E30DB;OK;172.16.84.134;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30DB
ACCC8E2E30E3;OK;172.16.84.11;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30E3
ACCC8E2E30F0;OK;172.16.84.109;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30F0
ACCC8E2E30F4;OK;172.16.84.106;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30F4
ACCC8E2E30F5;OK;172.16.84.102;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30F5
ACCC8E2E30FC;OK;172.16.84.227;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E30FC
ACCC8E2E31A0;OK;172.16.84.138;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E31A0
ACCC8E2E31A4;OK;172.16.84.237;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E31A4
ACCC8E2E31A9;OK;172.16.84.231;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E31A9
ACCC8E2E308F;OK;172.16.84.234;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E308F
ACCC8E2E312A;OK;172.16.84.5;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E312A
ACCC8E2E312C;OK;172.16.84.7;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E312C
ACCC8E2E312F;OK;172.16.84.4;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E312F
ACCC8E2E313C;OK;172.16.84.38;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E313C
ACCC8E2E313E;OK;172.16.84.77;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E313E
ACCC8E2E314F;OK;172.16.84.104;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E314F
ACCC8E2E317B;OK;172.16.84.6;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E317B
ACCC8E2E319F;OK;172.16.84.113;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E319F
ACCC8E2E3080;OK;172.16.84.103;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3080
ACCC8E2E3085;OK;172.16.84.239;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3085
ACCC8E2E3089;OK;172.16.84.228;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3089
ACCC8E2E3094;OK;172.16.84.107;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3094
ACCC8E2E3134;OK;172.16.84.10;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3134
ACCC8E2E3135;OK;172.16.84.9;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3135
ACCC8E2E3138;OK;172.16.84.39;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3138
ACCC8E2E3142;OK;172.16.84.40;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3142
ACCC8E2E3143;OK;172.16.84.37;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3143
ACCC8E2E3145;OK;172.16.84.41;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3145
ACCC8E2E3152;OK;172.16.84.110;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3152
ACCC8E2E3154;OK;172.16.84.115;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3154
ACCC8E2E3170;OK;172.16.84.238;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3170
ACCC8E2E3172;OK;172.16.84.229;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3172
ACCC8E2E3174;OK;172.16.84.8;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3174
ACCC8E2E3179;OK;172.16.84.12;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3179
ACCC8E2E3180;OK;172.16.84.43;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3180
ACCC8E2E3181;OK;172.16.84.42;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3181
ACCC8E2E3188;OK;172.16.84.78;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3188
ACCC8E2E3189;OK;172.16.84.133;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3189
ACCC8E0273B3;OK;172.16.84.47;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E0273B3
ACCC8E1888BD;Not accessible;172.16.84.139;;AXIS P1365;5.75.3.2;No;ARM4;;AXIS P1365 - ACCC8E1888BD
ACCC8E3015C1;OK;172.16.84.118;;AXIS P3224-LVE;5.75.3;No;ARM4;;AXIS P3224-LVE - ACCC8E3015C1
ACCC8E18892B;OK;172.16.84.48;;AXIS P1365;5.75.3;No;ARM4;;AXIS P1365 - ACCC8E18892B
ACCC8E027352;OK;172.16.84.44;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E027352
ACCC8E027368;OK;172.16.84.15;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E027368
ACCC8E188935;OK;172.16.84.136;;AXIS P1365;5.75.3;No;ARM4;;AXIS P1365 - ACCC8E188935
ACCC8E301541;OK;172.16.84.79;;AXIS P3224-LV;5.75.3;No;ARM4;;AXIS P3224-LV - ACCC8E301541